APSIM output file, version = 5.3
Title = Continuous winter wheat at Xifeng with low N
            day           year           date          event           flag           rain           w_ep          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)             es         runoff          drain         sw_dep          nh4()        tot_no3         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n          w_mat       n_stress       w_stress             eo
            273           1962     30/09/1962          0.000          0.000        105.600          0.000          0.266          0.269          0.273          0.276          0.279          0.281          0.278          0.288          0.288         12.476         40.035         28.263        840.193          9.599        118.441          7.819         14.588         22.295         17.569         12.937          9.815         12.110         10.926         10.384          0.259      13895.383        232.734          8.115          0.032          0.963          0.000          0.000          0.000          0.000        113.420          0.000              0          1.000          1.000         13.654
            304           1962     31/10/1962          0.000          0.000         46.100          2.737          0.246          0.249          0.255          0.265          0.270          0.270          0.270          0.280          0.280         31.068          1.041         44.188        807.260          2.797        105.314          6.094          7.165         15.129         18.137         14.017         10.582         12.813         11.099         10.277          0.134      13889.037        230.314         10.818          0.023          0.683          0.581          0.000        331.667         27.202        409.520          1.608              0          1.000          1.000         55.830
            334           1962     30/11/1962          0.000          0.000         42.500          1.695          0.268          0.270          0.270          0.271          0.271          0.272          0.272          0.282          0.282         13.568          0.000         10.483        824.014          2.315         98.147          1.980          6.196         11.432         17.365         14.691         11.262         13.398         11.391         10.433          0.039      13887.513        229.839         16.946          0.021          0.637          0.002          0.000        524.001         34.391        496.640          2.180              0          1.000          1.000         23.638
            365           1962     31/12/1962          0.000          0.000          0.000          0.001          0.249          0.253          0.261          0.269          0.270          0.270          0.270          0.280          0.280          8.515          0.000          4.148        811.350          2.288         97.972          2.773          5.890         11.080         17.232         14.633         11.221         13.389         11.366         10.389          0.002      13887.422        229.825         23.320          0.021          0.635          0.002          0.000        524.083         29.446        508.220          2.180              0          1.000          1.000         12.700
             31           1963     31/01/1963          0.000          0.000          0.000          0.000          0.231          0.239          0.252          0.262          0.269          0.270          0.270          0.280          0.280          9.674          0.000          0.000        801.676          2.282         98.009          3.714          5.690         10.846         16.783         14.597         11.223         13.392         11.370         10.394          0.000      13887.403        229.824         28.820          0.021          0.635          0.002          0.000        524.100         25.209        510.260          2.180              0          1.000          1.000         14.396
             59           1963     28/02/1963          0.000          0.000          1.500          0.003          0.221          0.230          0.244          0.256          0.264          0.270          0.270          0.280          0.280          9.965          0.000          0.000        793.207          2.204         98.176          4.695          5.657         10.750         16.353         14.332         11.225         13.394         11.373         10.397          0.000      13887.168        229.830         32.809          0.021          0.635          0.002          0.000        524.414         21.924        529.580          2.180              0          1.000          1.000         36.106
             90           1963     31/03/1963          0.000          0.000          4.300          0.296          0.217          0.225          0.239          0.252          0.261          0.268          0.270          0.280          0.280          9.598          0.000          0.000        787.613          1.468         99.914          6.242          6.190         10.974         16.064         14.126         11.140         13.400         11.378         10.401          0.000      13883.604        229.887         32.347          0.021          0.635          0.026          0.000        541.006         19.298        722.960          2.180              0          1.000          1.000         79.648
            120           1963     30/04/1963          0.000          0.000         30.800          1.676          0.258          0.257          0.243          0.249          0.258          0.265          0.270          0.280          0.280         20.097          0.000          0.000        796.639          1.165        101.775          5.357          8.823         11.678         15.824         13.874         11.027         13.405         11.382         10.405          0.000      13876.788        229.408         28.930          0.017          0.518          0.074          0.000        667.779         20.152       1027.220          2.220              0          1.000          1.000         88.364
            151           1963     31/05/1963          0.000          0.000        113.200          3.734          0.248          0.254          0.266          0.270          0.271          0.273          0.273          0.284          0.285         41.211         12.751         31.862        820.281          1.130        100.688          2.407          6.133         12.029         14.842         14.598         12.403         15.042         12.339         10.895          0.166      13864.734        227.420         23.566          0.008          0.233          0.074         62.765        938.999         20.707       1555.640          2.449              0          1.000          1.000        130.992
            181           1963     30/06/1963          0.000          0.000         24.300          8.205          0.226          0.235          0.249          0.259          0.266          0.270          0.270          0.280          0.280         32.371          0.000          6.792        797.212          1.038         99.749          6.755          8.170         11.749         12.757         12.562         10.983         13.776         12.228         10.769          0.008      13839.647        221.050         15.564          0.005          0.140          0.074        444.147       1289.795         17.816       2244.020          3.347              0          1.000          1.000        187.911
            187           1963     06/07/1963          2.000          2.000         24.600          0.525          0.254          0.258          0.264          0.262          0.265          0.270          0.270          0.280          0.280         10.681          0.069          0.000        810.536          1.099        101.147          5.601          9.296         12.886         12.985         12.574         11.007         13.795         12.233         10.771          0.017      13835.544        219.885         14.776          0.003          0.102          0.002        444.147       1305.668         17.375       2285.480          3.347            185          1.000          1.000         21.542
            212           1963     31/07/1963          0.000          0.000         56.200          0.000          0.253          0.258          0.268          0.270          0.270          0.271          0.271          0.281          0.281         39.241          5.382          5.427        816.686          1.204        111.451          8.132         12.312         15.601         13.798         13.015         11.238         14.081         12.391         10.882          0.062      13811.093        218.422         16.811          0.638         24.145          0.000          0.000          0.000          0.000          0.000          0.000              0          1.000          1.000        166.395
            243           1963     31/08/1963          0.000          1.000         54.900          0.000          0.305          0.272          0.265          0.267          0.270          0.270          0.270          0.280          0.280         42.483          1.434          6.088        821.581          1.180        123.787         11.012         17.555         18.743         14.220         13.221         11.382         14.262         12.467         10.926          0.052      13780.331        211.064          9.869          0.327         12.390          0.000          0.000          0.000          0.000          0.000          0.000              0          1.000          1.000        173.689
            264           1963     21/09/1963          0.000          3.000        139.700          0.000          0.287          0.294          0.288          0.289          0.288          0.287          0.279          0.289          0.288         36.577         20.583         43.244        860.877          1.318        123.826          1.547          9.930         20.727         19.108         16.200         13.694         16.850         13.932         11.836          0.397      13771.390        209.389          8.720          0.124          4.690          0.000          0.000          0.000          0.000          0.000          0.000              0          1.000          1.000         42.243
            273           1963     30/09/1963          0.000          0.000         11.400          0.000          0.243          0.250          0.263          0.270          0.270          0.270          0.270          0.281          0.281         14.681          0.002         44.944        812.649          9.133        133.696         15.036          8.401         18.349         18.062         15.855         13.668         17.584         14.521         12.219          0.106      13767.850        208.397          8.493          0.095          3.585          0.080          0.000         18.400          3.980        121.660          0.108              0          1.000          1.000         28.530
            304           1963     31/10/1963          0.000          0.000         10.200         10.029          0.207          0.222          0.243          0.260          0.268          0.270          0.270          0.280          0.280         18.630          0.000          1.526        792.665          2.012        108.724          5.263          3.764          8.350         17.538         15.834         13.686         17.588         14.510         12.191          0.001      13759.144        206.032         13.077          0.088          3.323          1.389          0.000        850.493         64.505        472.060          2.846              0          0.974          1.000         74.432
            334           1963     30/11/1963          0.000          0.000         47.800          3.914          0.313          0.278          0.270          0.270          0.270          0.270          0.270          0.280          0.280         10.678          0.000          0.000        825.873          1.672        101.147          1.321          3.030          5.114         17.655         15.984         13.705         17.607         14.526         12.206          0.007      13756.959        205.747         25.714          0.078          2.946          0.705          0.000       1400.272         84.384        600.760          3.553              0          0.586          1.000         30.047
            365           1963     31/12/1963          0.000          0.000          7.800          0.000          0.262          0.265          0.270          0.270          0.270          0.270          0.270          0.280          0.280          3.463          0.000         11.921        818.289          1.667        100.117          0.981          2.746          5.013         15.932         16.072         14.024         18.076         14.857         12.415          0.024      13756.942        205.747         39.510          0.078          2.946          0.002          0.000       1400.272         72.239        600.760          3.554              0          1.000          1.000          8.153
             31           1964     31/01/1964          0.000          0.000          7.300          0.000          0.268          0.270          0.270          0.270          0.270          0.270          0.270          0.280          0.280          2.093          0.000          3.428        820.068          1.667         99.792          0.836          2.703          4.968         15.423         16.060         14.122         18.227         14.966         12.486          0.006      13756.942        205.747         51.334          0.078          2.946          0.002          0.000       1400.272         61.843        600.760          3.556              0          1.000          1.000          4.795
             60           1964     29/02/1964          0.000          0.000          2.500          0.000          0.265          0.268          0.270          0.270          0.270          0.270          0.270          0.280          0.280          1.970          0.000          1.378        819.220          1.667         99.647          0.821          2.655          4.951         15.240         16.045         14.149         18.276         15.001         12.509          0.002      13756.942        205.747         60.850          0.078          2.946          0.002          0.000       1400.272         53.476        600.760          3.557              0          1.000          1.000          4.514
             91           1964     31/03/1964          0.000          0.000         30.400          0.142          0.240          0.249          0.263          0.270          0.270          0.270          0.270          0.280          0.281         28.080          0.000          9.923        811.476          1.059         99.363          1.320          2.456          4.779         13.834         15.852         14.375         18.703         15.322         12.722          0.020      13754.719        207.347         63.016          0.066          2.501          0.019          0.000       1411.385         46.135        769.900          3.570              0          1.000          1.000         72.565
            121           1964     30/04/1964          0.000          0.000        101.800          1.064          0.264          0.267          0.274          0.274          0.275          0.275          0.273          0.283          0.283         34.203          3.052         46.036        828.921          0.654         95.727          0.665          1.892          4.226          9.377         13.549         14.645         20.579         16.967         13.828          0.113      13747.747        210.387         55.125          0.035          1.320          0.052          0.000       1522.623         42.730       1149.880          3.611              0          1.000          1.000         91.410
            152           1964     31/05/1964          0.000          0.000         98.800          2.299          0.256          0.260          0.269          0.272          0.273          0.275          0.274          0.284          0.285         40.072          1.641         57.916        825.793          0.789         89.012          0.635          1.603          3.503          6.402          9.974         12.367         20.570         18.676         15.283          0.123      13737.441        212.378         45.875          0.013          0.474          0.052         90.291       1710.684         38.752       1638.220          3.879              0          1.000          1.000        123.770
            182           1964     30/06/1964          0.000          0.000         34.700          5.274          0.262          0.263          0.260          0.263          0.268          0.270          0.270          0.280          0.280         34.326          0.000          9.118        811.775          0.941         81.987          2.696          3.970          4.117          5.600          7.905          9.327         15.669         17.520         15.183          0.008      13715.411        212.034         29.496          0.005          0.205          0.052        563.772       1970.044         33.342       2284.660          5.074              0          1.000          1.000        189.540
            189           1964     07/07/1964          2.000          2.000         10.400          0.618          0.255          0.257          0.259          0.263          0.268          0.270          0.270          0.280          0.280         11.816          0.000          0.000        809.741          0.975         82.884          3.224          4.442          4.354          5.621          7.865          9.262         15.558         17.372         15.185          0.000      13710.911        211.486         27.453          0.003          0.124          0.002        579.706       1993.082         32.354       2355.160          5.122            187          1.000          1.000         31.618
            213           1964     31/07/1964          0.000          0.000        131.300          0.000          0.252          0.256          0.267          0.270          0.270          0.271          0.271          0.282          0.283         53.341         17.193         52.596        817.912          1.224         84.012          2.486          4.881          6.862          6.138          7.042          8.360         15.267         17.043         15.932          0.178      13694.621        221.297         35.703          0.468         18.140          0.000          0.000          0.000          0.000          0.000          0.000              0          1.000          1.000        119.820
            244           1964     31/08/1964          0.000          1.000        110.100          0.000          0.252          0.256          0.266          0.270          0.270          0.270          0.270          0.281          0.281         59.142         20.392         32.889        815.588          1.221         91.479          4.261          7.403          9.826          7.261          7.082          7.977         14.903         16.715         16.051          0.120      13667.781        217.768         19.855          0.138          5.356          0.000          0.000          0.000          0.000          0.000          0.000              0          1.000          1.000        179.275
            264           1964     20/09/1964          0.000          3.000        151.000          0.000          0.258          0.262          0.269          0.271          0.272          0.274          0.274          0.285          0.286         39.643         29.320         71.250        826.374          1.318         86.857          1.563          4.385          9.348          8.838          7.991          7.869         14.244         16.211         16.408          0.262      13659.190        215.859         17.058          0.053          2.072          0.000          0.000          0.000          0.000          0.000          0.000              0          1.000          1.000         51.386
            274           1964     30/09/1964          0.000          0.000         27.200          0.000          0.247          0.254          0.267          0.270          0.271          0.271          0.271          0.281          0.281         16.852          1.657         19.403        815.663         10.823         96.447         10.757          5.531          9.336          8.924          8.089          7.822         13.995         15.859         16.134          0.044      13656.394        215.120         16.360          0.037          1.442          0.000          0.000          0.000          0.000        119.920          0.000              0          1.000          1.000         17.090
            305           1964     31/10/1964          0.000          0.000         87.200          2.056          0.267          0.270          0.273          0.273          0.274          0.274          0.273          0.283          0.283         35.363          2.437         35.208        827.799          2.827         83.422          2.034          4.020          6.134          8.872          8.577          8.130         13.917         15.625         16.114          0.132      13649.895        213.438         19.004          0.021          0.802          0.612          0.000        352.062         28.635        459.080          1.630              0          1.000          1.000         51.108
            335           1964     30/11/1964          0.000          0.000          5.600          2.306          0.244          0.245          0.251          0.262          0.270          0.270          0.270          0.280          0.280         18.877          0.000          8.160        804.056          2.257         78.059          1.873          2.379          3.576          8.540          8.482          8.038         13.785         15.443         15.944          0.008      13648.131        213.137         25.164          0.020          0.770          1.121          0.000        689.448         42.999        582.680          2.104              0          0.915          1.000         33.891
            366           1964     31/12/1964          0.000          0.000          4.700          0.000          0.233          0.240          0.251          0.261          0.268          0.270          0.270          0.280          0.280          7.498          0.000          0.000        801.258          2.239         78.178          1.926          2.400          3.678          8.501          8.434          8.043         13.793         15.451         15.952          0.000      13648.074        213.135         32.784          0.020          0.769          0.002          0.000        689.474         36.812        586.700          2.104              0          0.990          1.000         12.639
             31           1965     31/01/1965          0.000          0.000          1.500          0.000          0.221          0.230          0.243          0.255          0.263          0.270          0.270          0.280          0.280         10.434          0.000          0.000        792.324          2.208         78.287          2.333          2.322          3.762          8.315          8.300          8.042         13.798         15.457         15.959          0.000      13647.992        213.142         39.245          0.020          0.769          0.002          0.000        689.505         31.515        590.600          2.104              0          1.000          1.000         20.896
             59           1965     28/02/1965          0.000          0.000          4.000          0.002          0.218          0.228          0.240          0.251          0.260          0.267          0.270          0.280          0.280          8.283          0.000          0.000        788.039          2.118         78.467          2.577          2.409          3.889          8.193          8.205          7.973         13.800         15.460         15.962          0.000      13647.727        213.191         43.935          0.020          0.769          0.002          0.000        689.745         27.399        608.900          2.105              0          1.000          1.000         27.292
             90           1965     31/03/1965          0.000          0.000         19.700          0.056          0.241          0.245          0.250          0.252          0.258          0.265          0.270          0.280          0.280         11.928          0.000          0.000        795.754          1.593         79.508          2.488          3.224          4.319          8.198          8.147          7.900         13.804         15.463         15.966          0.000      13645.646        213.664         45.223          0.019          0.739          0.009          0.000        694.717         23.609        734.420          2.106              0          1.000          1.000         71.832
            120           1965     30/04/1965          0.000          0.000         63.100          1.048          0.255          0.260          0.269          0.271          0.271          0.272          0.271          0.281          0.281         32.107          1.564          4.994        819.141          1.066         81.203          2.030          3.836          5.336          8.047          8.458          8.151         13.850         15.481         16.015          0.028      13637.988        214.575         38.427          0.014          0.542          0.031          0.000        771.435         22.435       1086.980          2.134              0          1.000          1.000        115.607
            151           1965     31/05/1965          0.000          0.000         30.000          2.880          0.262          0.262          0.258          0.263          0.269          0.270          0.270          0.280          0.280         31.440          0.000          2.855        811.966          1.086         83.332          3.789          5.881          6.019          7.525          7.897          7.643         13.222         15.412         15.945          0.003      13620.183        213.122         27.056          0.009          0.363          0.031        112.724        919.913         20.666       1657.460          2.435              0          1.000          1.000        177.910
            181           1965     30/06/1965          0.000          0.000         37.900          3.728          0.247          0.249          0.253          0.262          0.269          0.270          0.270          0.280          0.280         31.964          1.640          6.803        805.731          1.052         85.056          6.243          7.774          7.412          6.905          7.126          6.931         11.897         14.844         15.924          0.028      13595.064        208.064         18.416          0.006          0.219          0.031        345.400       1080.388         17.780       2312.720          3.051              0          1.000          1.000        206.837
            184           1965     03/07/1965          2.000          2.000          3.600          0.000          0.249          0.252          0.254          0.262          0.269          0.270          0.270          0.280          0.280          2.734          0.000          0.000        806.596          1.082         85.627          6.298          8.127          7.562          6.911          7.125          6.935         11.899         14.846         15.924          0.000      13593.387        207.673         18.042          0.005          0.184          0.002        345.400       1080.388         17.603       2312.720          3.051            182          1.000          1.000          4.561
            212           1965     31/07/1965          0.000          0.000        114.000          0.000          0.242          0.249          0.261          0.269          0.270          0.270          0.270          0.280          0.280         58.535         14.800         37.002        810.259          1.127         92.116          6.393          9.354         11.580          8.431          7.504          7.099         11.869         14.278         15.607          0.162      13569.003        209.070         19.815          0.210          7.152          0.000          0.000          0.000          0.000          0.000          0.000              0          1.000          1.000        164.412
            243           1965     31/08/1965          0.000          1.000         98.400          0.000          0.269          0.269          0.267          0.270          0.270          0.270          0.270          0.280          0.280         56.967          9.315         23.761        818.616          1.201        101.096          6.978         12.561         15.094          9.838          8.036          7.303         11.916         13.991         15.378          0.111      13540.829        202.390         12.406          0.086          2.943          0.000          0.000          0.000          0.000          0.000          0.000              0          1.000          1.000        172.248
            264           1965     21/09/1965          0.000          3.000         13.700          0.000          0.239          0.246          0.258          0.268          0.270          0.270          0.270          0.280          0.280         20.872          0.481          3.099        807.864          1.231        106.201         10.238         12.980         16.034         10.143          8.175          7.358         11.943         13.970         15.358          0.020      13528.082        198.978         10.502          0.064          2.176          0.000          0.000          0.000          0.000          0.000          0.000              0          1.000          1.000         91.709
            273           1965     30/09/1965          0.000          0.000         11.000          0.048          0.248          0.252          0.259          0.266          0.270          0.270          0.270          0.280          0.280          9.124          0.000          0.003        809.689          3.990        125.993         25.493         16.570         16.890         10.157          8.211          7.372         11.955         13.979         15.365          0.000      13521.268        197.153          9.823          0.047          1.615          0.088          0.000         23.325          4.450        137.490          0.136              0          1.000          1.000         37.298
            304           1965     31/10/1965          0.000          0.000         61.000         10.903          0.262          0.261          0.252          0.264          0.270          0.270          0.270          0.280          0.280         37.916          1.008         10.613        810.250          1.551         89.872          3.980          7.677          9.457         11.425          8.635          7.527         12.014         13.884         15.273          0.094      13512.671        195.154         13.998          0.029          0.986          1.537          0.000        950.087         68.678        509.130          3.298              0          0.981          1.000         71.166
            334           1965     30/11/1965          0.000          0.000         13.300          5.429          0.242          0.246          0.256          0.265          0.270          0.270          0.270          0.280          0.280         11.553          0.000          0.000        806.568          1.405         76.637          2.146          3.559          5.471          8.036          8.670          7.541         12.029         13.899         15.286          0.003      13510.291        194.904         26.461          0.025          0.853          0.538          0.000       1625.038         91.964        651.570          4.462              0          0.895          1.000         32.556
            365           1965     31/12/1965          0.000          0.000          2.800          0.025          0.243          0.247          0.254          0.262          0.268          0.270          0.270          0.280          0.280          4.685          0.000          0.000        804.658          1.390         76.677          2.280          3.593          5.490          7.912          8.622          7.545         12.035         13.906         15.293          0.000      13510.214        194.909         40.372          0.025          0.853          0.002          0.000       1628.357         78.856        656.010          4.465              0          1.000          1.000         11.959
             31           1966     31/01/1966          0.000          0.000          1.400          0.001          0.229          0.237          0.248          0.257          0.265          0.270          0.270          0.280          0.280          8.617          0.000          0.000        797.439          1.343         76.780          2.708          3.504          5.456          7.793          8.521          7.549         12.040         13.911         15.299          0.000      13510.062        194.964         52.065          0.025          0.851          0.002          0.000       1628.492         67.513        671.850          4.466              0          1.000          1.000         21.863
