Summary_file = g2_00_w0.sum
Title = Ghab2_W0_9900
      year       day       das tt_since_emerg          stage            lai     biomass_wt       grain_wt        leaf_wt        stem_wt      biomass_n        grain_n     root_depth         stem_n            cep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)    n_conc_leaf    n_conc_stem   n_conc_grain
      2000        10        20          0.000          2.259          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.254              0.111              0.143              0.195              0.236              0.263              0.275              0.289              0.299              0.303              5.004              4.011              2.863              4.845              5.285              5.530              3.438              4.260              3.270              1.088              0.119              0.095          0.000          0.000          0.000
      2000        11        21          0.000          2.301          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.237              0.115              0.143              0.195              0.236              0.262              0.275              0.289              0.299              0.303              5.045              4.095              2.869              4.895              5.295              5.537              3.228              4.260              3.270              1.038              0.108              0.086          0.000          0.000          0.000
      2000        12        22          0.000          2.335          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.221              0.118              0.143              0.195              0.236              0.262              0.275              0.289              0.299              0.303              5.105              4.152              2.874              4.942              5.304              5.544              3.041              4.260              3.270              0.990              0.099              0.077          0.000          0.000          0.000
      2000        13        23          0.000          2.365          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.212              0.120              0.143              0.195              0.236              0.262              0.275              0.289              0.299              0.303              5.169              4.196              2.880              4.988              5.313              5.549              2.872              4.260              3.270              0.945              0.090              0.069          0.000          0.000          0.000
      2000        14        24          0.000          2.392          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.198              0.121              0.144              0.195              0.236              0.262              0.275              0.289              0.298              0.302              5.232              4.262              2.885              5.031              5.320              5.554              2.732              4.226              3.270              0.901              0.083              0.062          0.000          0.000          0.000
      2000        15        25          0.000          2.420          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.185              0.122              0.144              0.195              0.236              0.262              0.275              0.289              0.298              0.302              5.308              4.345              2.891              5.073              5.327              5.558              2.594              4.166              3.270              0.859              0.076              0.056          0.000          0.000          0.000
      2000        16        26          0.000          2.445          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.173              0.123              0.144              0.195              0.236              0.262              0.275              0.289              0.298              0.302              5.380              4.436              2.897              5.113              5.333              5.561              2.476              4.090              3.270              0.820              0.069              0.050          0.000          0.000          0.000
      2000        17        27          0.000          2.467          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.162              0.123              0.144              0.195              0.236              0.262              0.275              0.288              0.298              0.302              5.445              4.533              2.902              5.151              5.338              5.564              2.379              4.005              3.270              0.781              0.064              0.045          0.000          0.000          0.000
      2000        18        28          0.000          2.495          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.292              0.187              0.145              0.195              0.236              0.262              0.275              0.288              0.298              0.302              4.522              5.527              2.933              5.187              5.342              5.565              2.281              3.881              3.270              0.745              0.060              0.042          0.000          0.000          0.000
      2000        19        29          0.000          2.543          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.282              0.260              0.152              0.195              0.236              0.262              0.275              0.288              0.298              0.302              3.586              6.344              3.147              5.223              5.345              5.566              2.183              3.760              3.270              0.710              0.056              0.039          0.000          0.000          0.000
      2000        20        30          0.000          2.601          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.269              0.263              0.159              0.195              0.236              0.262              0.275              0.288              0.298              0.302              3.532              6.434              3.310              5.258              5.348              5.566              2.072              3.625              3.270              0.676              0.053              0.036          0.000          0.000          0.000
      2000        21        31          0.000          2.626          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.260              0.257              0.164              0.195              0.236              0.262              0.275              0.288              0.298              0.302              3.603              6.440              3.537              5.293              5.351              5.567              1.965              3.496              3.169              0.643              0.049              0.034          0.000          0.000          0.000
      2000        22        32          0.000          2.649          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.302              0.283              0.177              0.195              0.236              0.262              0.275              0.288              0.298              0.302              3.259              6.597              3.991              5.328              5.353              5.567              1.872              3.381              3.036              0.611              0.047              0.031          0.000          0.000          0.000
      2000        23        33          0.000          2.681          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.317              0.291              0.199              0.196              0.236              0.262              0.275              0.288              0.298              0.302              3.032              6.436              4.633              5.365              5.356              5.567              1.781              3.269              2.910              0.580              0.044              0.029          0.000          0.000          0.000
      2000        24        34          0.000          2.734          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.301              0.281              0.219              0.196              0.236              0.262              0.275              0.288              0.298              0.302              2.981              6.190              5.184              5.407              5.358              5.567              1.696              3.162              2.791              0.552              0.042              0.027          0.000          0.000          0.000
      2000        25        35          0.000          2.790          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.314              0.280              0.248              0.198              0.236              0.262              0.275              0.288              0.297              0.302              2.779              5.839              5.922              5.468              5.359              5.567              1.617              3.062              2.683              0.526              0.039              0.026          0.000          0.000          0.000
      2000        26        36          0.000          2.854          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.291              0.273              0.263              0.200              0.236              0.262              0.275              0.288              0.297              0.302              2.730              5.679              6.351              5.550              5.362              5.567              1.529              2.951              2.567              0.498              0.037              0.024          0.000          0.000          0.000
      2000        27        37          0.000          2.883          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.286              0.275              0.272              0.203              0.236              0.262              0.275              0.288              0.297              0.302              2.670              5.663              6.628              5.648              5.364              5.566              1.442              2.843              2.455              0.472              0.035              0.022          0.000          0.000          0.000
      2000        28        38          0.000          2.918          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.274              0.273              0.272              0.206              0.236              0.262              0.275              0.288              0.297              0.302              2.705              5.732              6.744              5.746              5.366              5.566              1.353              2.732              2.342              0.446              0.033              0.021          0.000          0.000          0.000
      2000        29        39          0.000          2.959          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.000          0.000         -0.000              0.266              0.270              0.270              0.209              0.236              0.262              0.275              0.288              0.297              0.302              2.828              5.782              6.799              5.838              5.368              5.566              1.265              2.623              2.233              0.422              0.031              0.019          0.000          0.000          0.000
      2000        30        40          6.097          3.000          0.005         10.000          0.000         10.000          0.000          0.600          0.000        150.000          0.000         -0.000              0.259              0.265              0.266              0.211              0.236              0.262              0.275              0.288              0.297              0.302              3.028              5.793              6.818              5.922              5.371              5.565              1.179              2.519              2.129              0.398              0.029              0.018          6.000          0.000          0.000
      2000        31        41         12.697          3.010          0.005         10.011          0.000         10.004          0.006          0.600          0.000        167.000          0.000         -0.002              0.252              0.259              0.262              0.213              0.236              0.262              0.275              0.288              0.297              0.302              3.265              5.779              6.821              5.998              5.373              5.564              1.096              2.421              2.030              0.377              0.027              0.016          5.999          0.000          0.000
      2000        32        42         20.697          3.021          0.005         10.019          0.000         10.008          0.011          0.600          0.000        184.000          0.000         -0.003              0.248              0.255              0.259              0.215              0.236              0.261              0.275              0.288              0.297              0.302              3.441              5.827              6.850              6.069              5.376              5.564              1.000              2.310              1.922              0.353              0.026              0.015          5.997          3.085          0.000
      2000        33        43         27.218          3.030          0.006         10.031          0.000         10.012          0.018          0.601          0.000        201.000          0.001         -0.006              0.238              0.250              0.256              0.217              0.236              0.261              0.275              0.288              0.297              0.302              3.648              5.861              6.887              6.136              5.379              5.563              0.895              2.191              1.809              0.330              0.024              0.014          5.994          4.057          0.000
      2000        34        44         33.632          3.040          0.006         10.043          0.000         10.017          0.026          0.601          0.000        218.000          0.001         -0.008              0.229              0.246              0.253              0.219              0.237              0.261              0.275              0.288              0.297              0.302              3.848              5.898              6.923              6.197              5.382              5.563              0.795              2.075              1.700              0.307              0.022              0.013          5.991          4.524          0.000
      2000        35        45         39.719          3.048          0.006         10.055          0.000         10.022          0.033          0.602          0.000        235.000          0.002         -0.011              0.227              0.243              0.250              0.220              0.237              0.261              0.275              0.288              0.297              0.302              4.013              5.952              6.961              6.252              5.386              5.562              0.700              1.965              1.596              0.286              0.021              0.012          5.988          4.822          0.000
      2000        36        46         45.469          3.057          0.006         10.060          0.000         10.024          0.036          0.602          0.000        252.000          0.002         -0.011              0.258              0.255              0.251              0.221              0.237              0.261              0.275              0.288              0.297              0.302              3.831              6.198              7.076              6.307              5.389              5.561              0.615              1.871              1.507              0.268              0.019              0.011          5.987          5.174          0.000
      2000        37        47         52.469          3.067          0.007         10.068          0.000         10.027          0.041          0.602          0.000        269.000          0.002         -0.012              0.252              0.254              0.252              0.222              0.237              0.261              0.275              0.287              0.297              0.302              3.854              6.257              7.161              6.359              5.392              5.560              0.543              1.788              1.430              0.253              0.018              0.010          5.985          5.252          0.000
      2000        38        48         57.543          3.074          0.007         10.078          0.000          9.546          0.047          0.603          0.000        286.000          0.010         -0.014              0.241              0.249              0.251              0.224              0.237              0.261              0.275              0.287              0.297              0.302              4.005              6.223              7.206              6.407              5.395              5.559              0.478              1.715              1.360              0.239              0.017              0.009          5.983         20.922          0.000
      2000        39        49         62.980          3.082          0.007         10.088          0.000          9.551          0.053          0.603          0.000        303.000          0.010         -0.016              0.235              0.245              0.249              0.225              0.237              0.261              0.275              0.287              0.297              0.301              4.139              6.212              7.232              6.451              5.398              5.558              0.419              1.647              1.296              0.226              0.016              0.008          5.980         18.374          0.000
      2000        40        50         68.646          3.090          0.007         10.099          0.000          9.095          0.059          0.603          0.000        320.000          0.017         -0.019              0.231              0.242              0.247              0.226              0.237              0.261              0.275              0.287              0.296              0.301              4.257              6.217              7.251              6.491              5.401              5.557              0.364              1.583              1.236              0.214              0.015              0.008          5.978         27.978          0.000
      2000        41        51         75.141          3.099          0.007         10.113          0.000          9.100          0.068          0.603          0.000        337.000          0.017         -0.022              0.227              0.240              0.246              0.227              0.237              0.261              0.275              0.287              0.296              0.301              4.368              6.237              7.272              6.529              5.405              5.556              0.305              1.514              1.172              0.202              0.014              0.007          5.975         24.536          0.000
      2000        42        52         82.291          3.109          0.007         10.130          0.000          9.107          0.078          0.603          0.000        354.000          0.017         -0.026              0.224              0.238              0.244              0.228              0.237              0.261              0.275              0.287              0.296              0.301              4.472              6.268              7.297              6.564              5.408              5.555              0.243              1.441              1.107              0.189              0.013              0.007          5.972         21.386          0.000
      2000        43        53         90.119          3.120          0.008         10.150          0.000          9.115          0.090          0.603          0.000        371.000          0.017         -0.031              0.221              0.235              0.243              0.228              0.237              0.261              0.275              0.287              0.296              0.301              4.570              6.308              7.326              6.597              5.412              5.554              0.180              1.365              1.039              0.177              0.012              0.006          5.968         18.518          0.000
      2000        44        54         99.069          3.133          0.008         10.169          0.000          9.123          0.101          0.603          0.000        388.000          0.017         -0.035              0.218              0.233              0.241              0.229              0.238              0.261              0.275              0.287              0.296              0.301              4.662              6.352              7.356              6.627              5.416              5.553              0.117              1.289              0.973              0.164              0.012              0.005          5.964         16.402          0.000
      2000        45        55        107.219          3.145          0.009         10.190          0.000          9.131          0.114          0.603          0.000        405.000          0.017         -0.040              0.238              0.236              0.240              0.229              0.238              0.261              0.275              0.287              0.296              0.301              4.617              6.499              7.405              6.656              5.419              5.552              0.045              1.214              0.907              0.153              0.011              0.005          5.961         14.627          0.000
      2000        46        56        114.069          3.155          0.009         10.195          0.000          9.133          0.117          0.603          0.000        422.000          0.017         -0.041              0.260              0.254              0.244              0.230              0.238              0.261              0.275              0.287              0.296              0.301              4.250              6.792              7.553              6.687              5.423              5.551              0.000              1.150              0.852              0.143              0.010              0.004          5.959         14.224          0.000
      2000        47        57        121.069          3.165          0.009         10.202          0.000          9.136          0.121          0.603          0.000        439.000          0.017         -0.042              0.271              0.263              0.250              0.231              0.238              0.261              0.275              0.287              0.296              0.301              3.967              6.877              7.766              6.726              5.427              5.550              0.000              1.096              0.805              0.134              0.010              0.004          5.958         13.764          0.000
      2000        48        58        129.519          3.177          0.010         10.229          0.000          9.147          0.138          0.603          0.000        455.045          0.017         -0.047              0.256              0.257              0.252              0.232              0.238              0.261              0.275              0.287              0.296              0.301              3.999              6.792              7.857              6.767              5.431              5.549              0.000              1.047              0.763              0.127              0.009              0.004          5.952         12.099          0.000
      2000        49        59        136.569          3.187          0.010         10.247          0.000          9.154          0.148          0.604          0.000        470.090          0.017         -0.051              0.248              0.252              0.252              0.233              0.238              0.261              0.275              0.287              0.296              0.301              4.067              6.724              7.892              6.806              5.435              5.548              0.000              1.003              0.725              0.120              0.009              0.003          5.949         11.226          0.000
      2000        50        60        144.869          3.199          0.011         10.272          0.000          9.164          0.163          0.604          0.000        484.281          0.017         -0.056              0.250              0.252              0.252              0.234              0.239              0.261              0.275              0.287              0.296              0.301              4.024              6.758              7.922              6.843              5.439              5.547              0.000              0.964              0.691              0.114              0.008              0.003          5.944         10.198          0.000
      2000        51        61        155.719          3.214          0.012         10.313          0.000          9.180          0.188          0.604          0.000        497.604          0.017         -0.064              0.239              0.248              0.251              0.235              0.239              0.261              0.275              0.287              0.296              0.301              4.097              6.713              7.932              6.877              5.443              5.546              0.000              0.920              0.654              0.107              0.008              0.003          5.935          8.855          0.000
      2000        52        62        164.269          3.226          0.013         10.348          0.000          9.194          0.209          0.604          0.000        510.059          0.017         -0.072              0.233              0.244              0.249              0.236              0.239              0.261              0.275              0.287              0.296              0.301              4.161              6.691              7.934              6.908              5.448              5.545              0.000              0.872              0.614              0.101              0.007              0.003          5.929          7.971          0.000
      2000        53        63        172.919          3.239          0.013         10.370          0.000          9.203          0.222          0.604          0.000        521.667          0.017         -0.076              0.243              0.245              0.248              0.236              0.239              0.261              0.275              0.287              0.296              0.301              4.091              6.769              7.951              6.936              5.452              5.543              0.000              0.828              0.577              0.094              0.007              0.002          5.925          7.501          0.000
      2000        54        64        181.419          3.251          0.014         10.392          0.000          9.212          0.235          0.604          0.000        532.462          0.017         -0.079              0.240              0.244              0.247              0.237              0.239              0.261              0.275              0.287              0.296              0.301              4.066              6.806              7.967              6.961              5.457              5.542              0.000              0.788              0.544              0.089              0.006              0.002          5.920          7.079          0.000
      2000        55        65        189.669          3.263          0.014         10.410          0.000          9.219          0.246          0.604          0.000        542.484          0.017         -0.081              0.241              0.244              0.247              0.238              0.239              0.261              0.275              0.287              0.296              0.301              4.018              6.856              7.984              6.985              5.462              5.541              0.000              0.752              0.514              0.084              0.006              0.002          5.916          6.769          0.000
      2000        56        66        198.669          3.275          0.015         10.456          0.000          9.237          0.273          0.605          0.000        551.774          0.017         -0.089              0.229              0.241              0.246              0.238              0.240              0.261              0.275              0.287              0.296              0.301              4.088              6.815              7.985              7.005              5.467              5.540              0.000              0.721              0.488              0.080              0.006              0.002          5.906          6.089          0.000
      2000        57        67        206.919          3.287          0.016         10.498          0.000          9.254          0.299          0.605          0.000        560.380          0.017         -0.097              0.240              0.242              0.245              0.238              0.240              0.261              0.275              0.287              0.295              0.301              4.028              6.876              7.996              7.023              5.471              5.539              0.000              0.694              0.465              0.076              0.006              0.002          5.897          5.589          0.000
      2000        58        68        212.469          3.295          0.017         10.517          0.000          9.262          0.310          0.605          0.000        568.348          0.017         -0.099              0.234              0.241              0.245              0.239              0.240              0.261              0.275              0.286              0.295              0.301              4.038              6.876              8.000              7.039              5.476              5.538              0.000              0.670              0.445              0.073              0.005              0.001          5.892          5.493          0.000
      2000        59        69        216.968          3.302          0.017         10.543          0.000          9.272          0.326          0.606          0.000        575.724          0.018         -0.104              0.225              0.238              0.244              0.239              0.240              0.261              0.275              0.286              0.295              0.301              4.106              6.835              7.992              7.052              5.481              5.537              0.000              0.649              0.427              0.070              0.005              0.001          5.886          5.412          0.000
      2000        60        70        222.017          3.309          0.018         10.573          0.000          9.284          0.344          0.607          0.000        582.554          0.018         -0.109              0.221              0.236              0.243              0.239              0.240              0.261              0.275              0.286              0.295              0.300              4.170              6.803              7.980              7.063              5.486              5.536              0.000              0.629              0.410              0.067              0.005              0.001          5.878          5.361          0.000
      2000        61        71        228.517          3.318          0.018         10.583          0.000          9.288          0.350          0.607          0.000        588.883          0.019         -0.110              0.236              0.237              0.242              0.240              0.241              0.261              0.275              0.286              0.295              0.300              4.120              6.859              7.977              7.072              5.490              5.535              0.000              0.612              0.396              0.065              0.005              0.001          5.875          5.405          0.000
      2000        62        72        235.617          3.328          0.019         10.628          0.000          9.306          0.377          0.608          0.000        594.754          0.020         -0.118              0.223              0.235              0.241              0.240              0.241              0.261              0.275              0.286              0.295              0.300              4.174              6.827              7.968              7.080              5.495              5.534              0.000              0.598              0.383              0.062              0.005              0.001          5.864          5.305          0.000
      2000        63        73        242.465          3.338          0.020         10.665          0.000          9.321          0.399          0.609          0.000        600.207          0.021         -0.126              0.219              0.233              0.240              0.240              0.241              0.261              0.275              0.286              0.295              0.300              4.230              6.797              7.956              7.086              5.500              5.533              0.000              0.582              0.370              0.060              0.005              0.001          5.855          5.291          0.000
      2000        64        74        251.215          3.350          0.021         10.698          0.000          9.334          0.419          0.610          0.000        605.299          0.022         -0.131              0.215              0.231              0.240              0.240              0.241              0.261              0.275              0.286              0.295              0.300              4.285              6.772              7.942              7.090              5.504              5.532              0.000              0.566              0.357              0.058              0.005              0.001          5.846          5.282          0.000
      2000        65        75        260.515          3.364          0.023         10.777          0.000          9.366          0.466          0.612          0.000        610.495          0.024         -0.155              0.212              0.230              0.239              0.240              0.241              0.261              0.275              0.286              0.295              0.300              4.331              6.753              7.928              7.093              5.509              5.531              0.000              0.547              0.342              0.056              0.004              0.001          5.827          5.190          0.000
      2000        66        76        271.115          3.379          0.025         10.855          0.000          9.397          0.513          0.614          0.000        615.786          0.026         -0.173              0.209              0.228              0.238              0.240              0.242              0.261              0.275              0.286              0.295              0.300              4.368              6.743              7.918              7.095              5.513              5.530              0.000              0.525              0.325              0.054              0.004              0.001          5.808          5.141          0.000
      2000        67        77        281.465          3.394          0.026         10.922          0.000          9.424          0.553          0.616          0.000        621.167          0.028         -0.177              0.207              0.226              0.237              0.240              0.242              0.261              0.275              0.286              0.295              0.300              4.404              6.735              7.907              7.096              5.517              5.529              0.000              0.504              0.309              0.051              0.004              0.001          5.791          5.110          0.000
      2000        68        78        286.613          3.401          0.028         10.982          0.000          9.448          0.589          0.618          0.000        626.629          0.030         -0.186              0.204              0.225              0.236              0.240              0.242              0.261              0.275              0.286              0.295              0.300              4.440              6.726              7.894              7.096              5.521              5.528              0.000              0.485              0.294              0.049              0.004              0.001          5.776          5.124          0.000
      2000        69        79        293.698          3.411          0.030         11.070          0.000          9.483          0.642          0.621          0.000        632.165          0.033         -0.210              0.202              0.224              0.235              0.240              0.242              0.261              0.275              0.286              0.295              0.300              4.471              6.718              7.880              7.094              5.525              5.528              0.000              0.466              0.280              0.047              0.004              0.001          5.755          5.098          0.000
      2000        70        80        302.198          3.423          0.032         11.145          0.000          9.513          0.687          0.623          0.000        637.768          0.035         -0.229              0.199              0.222              0.234              0.240              0.242              0.261              0.275              0.286              0.295              0.300              4.504              6.709              7.866              7.091              5.529              5.527              0.000              0.449              0.267              0.045              0.004              0.000          5.737          5.107          0.000
      2000        71        81        312.948          3.439          0.034         11.252          0.000          9.556          0.751          0.626          0.000        643.432          0.038         -0.258              0.211              0.222              0.233              0.239              0.242              0.261              0.275              0.286              0.295              0.300              4.491              6.730              7.852              7.087              5.532              5.526              0.000              0.432              0.255              0.043              0.004              0.000          5.711          5.064          0.000
